Alpha (degrees),C_L,C_D,C_M
-5.00,-0.606226825789,0.007643867710,0.009573272813
-4.50,-0.549901940462,0.006109822313,0.008568254159
-4.00,-0.492075788318,0.004877531572,0.007574733038
-3.50,-0.433014573473,0.003901657884,0.006594250739
-3.00,-0.372939786582,0.003141989856,0.005626621655
-2.50,-0.312037388252,0.002560648314,0.004669015801
-2.00,-0.250454535131,0.002128423590,0.003721756102
-1.50,-0.188320558264,0.001824370704,0.002783524482
-1.00,-0.125755234906,0.001633461388,0.001851455386
-0.50,-0.062935463519,0.001524386163,0.000924705132
0.00,0.000000000015,0.001486686951,-0.000000000007
0.50,0.062935463493,0.001524386162,-0.000924705118
1.00,0.125755234919,0.001633461388,-0.001851455389
1.50,0.188320558297,0.001824370706,-0.002783524497
2.00,0.250454535164,0.002128423593,-0.003721756118
2.50,0.312037388282,0.002560648317,-0.004669015816
3.00,0.372939786597,0.003141989859,-0.005626621667
3.50,0.433014573457,0.003901657883,-0.006594250735
4.00,0.492075788334,0.004877531573,-0.007574733042
4.50,0.549901940460,0.006109822312,-0.008568254158
5.00,0.606226825773,0.007643867708,-0.009573272809
5.50,0.660844834292,0.009519804304,-0.010589807791
6.00,0.713477296850,0.011784912482,-0.011618052299
6.50,0.763794653610,0.014485284685,-0.012656391291
7.00,0.811455981511,0.017661576767,-0.013702626675
7.50,0.856049284889,0.021348333542,-0.014754593100
8.00,0.897158284023,0.025572401506,-0.015806719630
8.50,0.934362150588,0.030344677322,-0.016855788719
9.00,0.967104383644,0.035686393637,-0.017901786233
9.50,0.994819458050,0.041591502924,-0.018946475243
10.00,1.016833264707,0.048043356852,-0.019999235236
10.50,1.032758036209,0.055007382162,-0.021084640235
11.00,1.042191790698,0.062433225220,-0.022230726740
11.50,1.044816805588,0.070253909980,-0.023494272191
12.00,1.040465025748,0.078407364675,-0.024959508988
